fidelity_v2,source_id
1.0,2099548445725478144
1.0,2099537764145002880
1.0,2099534981005352576
1.0,2099370363500097408
1.0,2051380907197804800
1.0,2051370702355722880
1.0,2052822641817726208
1.0,2052820030477574912
1.0,2052822366939817856
1.0,2052821748464031616
1.0,2052811608041182336
1.0,2052811200024448896
1.0,2052833327696039936
1.0,2052832503062316928
1.0,2052645551728597248
1.0,2052645860966270592
1.0,2052642798648882816
1.0,2052642734230091008
1.0,2052647853831121536
1.0,2052635862282246400
1.0,2052648334867576704
1.0,2052648128709055616
1.0,2052636480757580672
1.0,2052633594539571712
1.0,2052637236671861504
1.0,2052726709430771328
1.0,2052680392502208768
1.0,2052680804819096960
1.0,2052681148416573952
1.0,2052677987320624896
1.0,2052668813270734720
1.0,2051942207885879808
1.0,2051932277921342208
1.0,2051933927188816384
1.0,2052257561564525824
1.0,2052258180039838080
1.0,2052258145680105600
1.0,2052257905161933312
1.0,2052254778425794944
1.0,2052084835163028864
1.0,2052072122059933696
1.0,2052074389802779904
1.0,2052117305114743808
1.0,2052114998705273600
1.0,2052119779015990400
1.0,2052110020850386048
1.0,2052109024417698688
1.0,2052129949498952832
1.0,2052129021786048128
1.0,2100120986342958720
1.0,2100120780184525568
1.0,2099934000647955456
1.0,2099934894001174912
1.0,2099939944882721024
1.0,2099937952017975296
1.0,2099938398694609280
1.0,2099925238914816384
1.0,2099976228765484032
1.0,2099975472851283072
1.0,2099972414834176256
1.0,2099972895870547456
1.0,2099981348366252416
1.0,2099982550958012032
1.0,2099236601038640000
1.0,2099595591584224640
1.0,2099595729022562432
1.0,2099595247986250496
1.0,2099553741422337920
1.0,2099538657497306112
1.0,2099561953400028160
1.0,2099562193918221696
1.0,2099560132333991424
1.0,2099371153774293888
1.0,2099374486668937728
1.0,2099375345662320128
1.0,2099375276942851712
1.0,2051380426161427840
1.0,2051380529241703424
1.0,2051379704606947584
1.0,2051386336036465152
1.0,2051385580122480000
1.0,2051385786280727168
1.0,2051371870586835200
1.0,2051371939306341632
1.0,2052868718226798208
1.0,2052822470019093760
1.0,2052826283949645312
1.0,2052836626230918912
1.0,2052834495927201024
1.0,2052834805164852864
1.0,2052646548161032192
1.0,2052649400019368960
1.0,2052651083646589184
1.0,2052638095665505280
1.0,2052728633576144768
1.0,2052730042325446144
1.0,2052729458209904640
1.0,2052681388934729088
1.0,2052684103354119808
1.0,2052687711126912512
1.0,2052687814205959680
1.0,2052684550030840320
1.0,2052685374664629248
1.0,2052673005158812928
1.0,2052696301061740288
1.0,2051942379684583680
1.0,2051945884377944192
1.0,2051934751822576768
1.0,2051933858469399552
1.0,2052086106473610752
1.0,2052087549582550528
1.0,2052168157528937472
1.0,2052168672925100032
1.0,2052165958505822464
1.0,2052166336462982144
1.0,2052125414013098880
1.0,2052124829897596416
1.0,2052110192648801920
1.0,2052134141387273216
1.0,2052131976723613312
1.0,2052131392610787328
