KIC,source_id
2443037,2052555563572131456
2443364,2052554360981318912
2443935,2052553879945014400
2445019,2051809785454317952
2445154,2051806555638915456
2445329,2051805765364937984
2445782,2051899945406589056
2446261,2051887472821600512
2446934,2051885686115115264
2447838,2051844351348642816
2448186,2051844901104525952
2448311,2051844969824025728
2448534,2051842461563192320
2448958,2051864932832352256
2449799,2051849127352797184
2449818,2051849127352793088
2450157,2051851292016428416
2453079,2052030168818463232
2453267,2052027282600467968
2554730,2099849269532702080
2555396,2099099230805375872
2555476,2099193101608917760
2555523,2099098440531398912
2555568,2099192311334946176
2555722,2099192173896020736
2556123,2099188325605372288
2556650,2099183583961614208
2556953,2099180457225448448
2556994,2099179323354076416
2558623,2099143073830408960
2568503,2051292671388138880
2568708,2051292568309367680
2569737,2051294148857011712
2570773,2051295317088301440
2570846,2051107472400670720
2571155,2051106853925428736
2572352,2052593977760487808
2572455,2052606274244656768
2572490,2052593634163105408
2573016,2052599303520043904
2574013,2052549825495625472
2574201,2052550203452707712
2574699,2052569822863708544
2576013,2052564187866764160
2576328,2052564153507071872
2577210,2051811159843850112
2577743,2051905339885506944
2577892,2051904652690754560
2578300,2051900323363729664
2578319,2051901491594852608
2579762,2051895959677202944
2581101,2051869090360684800
2581298,2051869193439946752
2581444,2051865104631062656
2582572,2051854380091914752
2582987,2051857816065976960
2583649,2051670319277787520
2584692,2052042499660358400
2692088,2099862601111088896
2692271,2099862979068219904
2692429,2099862875989024128
2692704,2099859268216511488
2692866,2099853152183095040
2693045,2099853633219468416
2693993,2099944892683616128
2694414,2099195300632995200
2695622,2099185920423939968
2695885,2099182759328038272
2696381,2099158089035962624
2697813,2099150839131475840
2708172,2051297206873964928
2708221,2051296725837588352
2708343,2051295901203883008
2708595,2052797421769138560
2708787,2052797593567875456
2710447,2052600884068060672
2711131,2052598753764370432
2711354,2052621465551713408
2712795,2052572296764998784
2713086,2052577210207618176
2714000,2052566249451201024
2714077,2052563122715102464
2714431,2052563535031944448
2714725,2051905649123134464
2715135,2051905030647886976
2715495,2051901903911744640
2716142,2051908878938756480
2716319,2051908604060863872
2716857,2051896028396680960
2717009,2051896097116178816
2718397,2051870808348062976
2718781,2051871426823041152
2718866,2051871839139938688
2718935,2051871804780206848
2719353,2051873763285340288
2720230,2051862699449699968
2721506,2052046592773298944
2721930,2052047142529158400
2722737,2052043431677505792
2831377,2099863906781162112
2831957,2099866926140833792
2831983,2099866243243446272
2832175,2099865964068133120
2832398,2099867651992787584
